Time:1443760 || State: START!
Time:1443770 || State: START!
Time:1443780 || State: START!
Time:1443790 || State: START!
Time:1443800 || State: START!
Time:1443810 || State: START!
Time:1443820 || State: START!
Time:1443830 || State: START!
Time:1443840 || State: START!
Time:1443850 || State: START!
Time:1443860 || State: START!
Time:1443870 || State: START!
Time:1443890 || State: START!
Time:1443900 || State: START!
Time:1443910 || State: START!
Time:1443920 || State: START!
Time:1443930 || State: START!
Time:1443940 || State: START!
Time:1443950 || State: START!
Time:1443960 || State: START!
Time:1443970 || State: START!
Time:1443980 || State: START!
Time:1443990 || State: START!
Time:1444000 || State: START!
Time:1444010 || State: START!
Time:1444020 || State: START!
Time:1444030 || State: START!
Time:1444040 || State: START!
Time:1444050 || State: START!
Time:1444060 || State: START!
Time:1444070 || State: START!
Time:1444080 || State: START!
Time:1444090 || State: START!
Time:1444100 || State: START!
Time:1444110 || State: START!
Time:1444120 || State: START!
Time:1444130 || State: START!
Time:1444140 || State: START!
Time:1444150 || State: START!
Time:1444160 || State: START!
Time:1444170 || State: START!
Time:1444180 || State: START!
Time:1444190 || State: START!
Time:1444200 || State: START!
Time:1444210 || State: START!
Time:1444220 || State: START!
Time:1444230 || State: START!
Time:1444240 || State: START!
Time:1444250 || State: START!
Time:1444260 || State: START!
Time:1444270 || State: START!
Time:1444280 || State: START!
Time:1444290 || State: START!
Time:1444300 || State: START!
Time:1444310 || State: START!
Time:1444320 || State: START!
Time:1444330 || State: START!
Time:1444340 || State: START!
Time:1444350 || State: START!
Time:1444360 || State: START!
Time:1444370 || State: START!
Time:1444380 || State: START!
Time:1444390 || State: START!
Time:1444400 || State: START!
Time:1444410 || State: START!
Time:1444420 || State: START!
Time:1444430 || State: START!
Time:1444440 || State: START!
Time:1444450 || State: START!
Time:1444460 || State: START!
Time:1444470 || State: START!
Time:1444480 || State: START!
Time:1444490 || State: START!
Time:1444500 || State: START!
Time:1444510 || State: START!
Time:1444520 || State: START!
Time:1444530 || State: START!
Time:1444540 || State: START!
Time:1444550 || State: START!
Time:1444560 || State: START!
Time:1444570 || State: START!
Time:1444580 || State: START!
Time:1444590 || State: START!
Time:1444600 || State: START!
Time:1444610 || State: START!
Time:1444620 || State: START!
Time:1444630 || State: START!
Time:1444640 || State: START!
Time:1444650 || State: START!
Time:1444660 || State: START!
Time:1444670 || State: START!
Time:1444680 || State: START!
Time:1444690 || State: START!
Time:1444700 || State: START!
Time:1444710 || State: START!
Time:1444720 || State: START!
Time:1444730 || State: START!
Time:1444740 || State: START!
Time:1444750 || State: START!
Time:1444760 || State: START!
Time:1444770 || State: START!
Time:1444780 || State: START!
Time:1444790 || State: START!
Time:1444800 || State: START!
Time:1444810 || State: START!
Time:1444820 || State: START!
Time:1444830 || State: START!
Time:1444840 || State: START!
Time:1444850 || State: START!
Time:1444860 || State: START!
Time:1444870 || State: START!
Time:1444880 || State: START!
Time:1444890 || State: START!
Time:1444900 || State: START!
Time:1444910 || State: START!
Time:1444920 || State: START!
Time:1444930 || State: START!
Time:1444940 || State: START!
Time:1444950 || State: START!
Time:1444960 || State: START!
Time:1444970 || State: START!
Time:1444980 || State: START!
Time:1444990 || State: START!
Time:1445000 || State: START!
Time:1445010 || State: START!
Time:1445020 || State: START!
Time:1445030 || State: START!
Time:1445040 || State: START!
Time:1445050 || State: START!
Time:1445060 || State: START!
Time:1445070 || State: START!
Time:1445080 || State: START!
Time:1445090 || State: START!
Time:1445100 || State: START!
Time:1445110 || State: START!
Time:1445120 || State: START!
Time:1445130 || State: START!
Time:1445140 || State: START!
Time:1445150 || State: START!
Time:1445160 || State: START!
Time:1445170 || State: START!
Time:1445180 || State: START!
Time:1445190 || State: START!
Time:1445200 || State: START!
Time:1445210 || State: START!
Time:1445220 || State: START!
Time:1445230 || State: START!
Time:1445240 || State: START!
Time:1445250 || State: START!
Time:1445260 || State: START!
Time:1445270 || State: START!
Time:1445280 || State: START!
Time:1445290 || State: START!
Time:1445300 || State: START!
Time:1445310 || State: START!
Time:1445320 || State: START!
Time:1445330 || State: START!
Time:1445340 || State: START!
Time:1445350 || State: START!
Time:1445360 || State: START!
Time:1445370 || State: START!
Time:1445380 || State: START!
Time:1445390 || State: START!
Time:1445400 || State: START!
Time:1445410 || State: START!
Time:1445420 || State: START!
Time:1445430 || State: START!
Time:1445440 || State: START!
Time:1445450 || State: START!
Time:1445460 || State: START!
